decision,access_string
1,45539 45540 33283 33323 33285 33497 6 45541 8 33289 33290 34780 3312
0,70823 34189 2 33265 4 33541 6 33280 8 33268 33276 33270 24300
1,75036 37953 33426 33675 33428 35374 6 33947 8 9 33290 33430 23784
1,55039 55040 33283 34572 33285 34573 6 55041 33777 9 33290 33291 32386
0,40104 39212 33339 34566 33341 36667 6 33947 8 9 33290 33430 16757
0,71515 33543 33521 33544 33523 33545 6 36300 8 33268 33290 33270 27623
1,36245 36246 33426 33675 33428 35374 6 33947 8 9 33290 33430 23805
1,74350 40217 33316 34024 33317 34025 6 33947 8 9 33290 33430 7522
0,49184 35161 2 33365 4 33366 6 38874 8 33368 33408 33370 21444
0,61886 35361 2 33265 4 33273 6 33280 8 33268 33269 33270 29559
0,55119 33899 2 3 4 33438 6 33336 8 33275 33313 11 8012
0,73848 33600 33299 33601 33301 33602 6 33947 8 9 33290 33430 30355
0,73766 47964 34046 34047 34048 34047 6 73767 8 33345 33290 34046 31127
1,50122 42753 2 3 4 33438 6 36028 8 33289 33455 36029 9756
1,70906 33401 33316 33385 33317 33386 6 38320 8 33289 33290 33657 14881
0,55021 47152 33299 33601 33301 33602 6 33518 8 9 33290 33430 20027
1,67656 36287 2 3 4 33485 6 48351 8 33431 33276 33678 4784
1,49279 35073 2 3 4 33307 6 33336 8 33275 33455 11 9753
0,70572 58573 2 33265 4 33453 6 34021 8 33268 33455 33270 24300
1,43511 33965 2 33365 4 33966 6 33967 8 33368 33408 33968 9553
1,52247 36672 33316 33385 33317 33386 6 38320 8 33289 33290 33657 14807
1,45080 45081 33283 36963 33285 36964 6 45082 8 33289 33290 33291 33127
1,64625 46788 33339 35272 33341 35273 6 46789 8 9 35275 35276 30384
1,44956 42753 2 3 4 33438 6 36028 8 33289 33455 36029 5061
0,57899 34225 33316 33265 33317 33318 6 34226 8 33268 33320 33270 32289
1,57823 37198 33316 34024 33317 37199 6 33947 8 9 33290 33430 12374
0,52794 42097 2 33265 4 33307 6 33280 8 33268 33313 33270 19338
0,62189 34069 33299 33601 33301 33812 6 33947 8 9 33290 33430 3598
1,40610 38757 33299 33395 33301 33861 6 40611 8 33431 33290 33863 16979
1,67955 39340 33283 36494 33285 39341 6 36521 8 9 33290 33291 27285
0,51549 33543 33521 33544 33523 33545 6 36300 8 33268 33290 33270 18033
0,56269 33543 33521 33544 33523 33545 6 35234 8 33268 33290 33270 13128
0,68206 37145 2 3 4 33568 6 33569 8 33275 33570 11 3915
1,49155 36287 2 3 4 33453 6 48351 8 33431 33455 33678 22990
0,53564 46606 33283 33975 33285 38398 6 53565 8 9 33976 33430 17068
1,73848 33600 33299 33601 33301 33602 6 33947 8 9 33290 33430 23668
1,38422 38423 33299 33395 33301 37667 6 38424 8 33289 33408 33657 28988
0,44682 33899 2 3 4 33438 6 33336 8 33275 33313 11 16643
0,62564 51969 33416 33689 33418 33828 6 51970 33421 33431 33422 33430 9177
1,69854 35748 33426 35335 33428 35454 6 33947 8 9 33290 33430 22593
1,61527 38505 2 33730 4 33731 6 33947 8 9 33290 33430 21490
1,61876 34661 33283 36494 33285 34662 6 36495 8 33289 33290 33291 27281
1,43769 43770 33299 33601 33301 33812 6 33947 8 9 33290 33430 30966
1,75560 45373 33416 33689 33418 33690 6 33518 8 33289 33290 33430 19489
0,74551 37331 2 3 4 33279 6 33336 8 33275 33455 11 28206
1,46775 42753 2 3 4 33438 6 36028 8 33289 33455 36029 4183
1,43835 43836 33357 33458 33359 33517 6 33691 8 33289 33290 33430 29846
0,39603 34225 33316 33265 33317 33318 6 34226 8 33268 33320 33270 28000
0,48071 35567 34046 34047 34048 34047 6 41822 8 33345 33290 34046 24877
1,58750 44554 2 33365 4 33366 6 58751 8 33289 33408 33370 9553
1,72402 69069 33283 35227 33285 35228 6 50710 8 33289 33290 33461 33147
0,67634 34285 2 3 4 33307 6 33336 8 33275 33276 11 33123
0,77511 57150 2 34181 4 34182 6 33518 8 9 33904 33430 8206
0,51964 34697 33416 33265 33418 34208 6 33270 8 33268 34210 33270 31491
1,65325 38162 2 33730 4 34251 6 33518 8 9 33290 33430 3312
1,48028 34798 33299 34471 33301 34752 6 33947 8 9 33290 33430 10755
0,72801 54499 33299 33790 33301 34102 6 33947 8 9 33290 33430 27505
1,44914 44915 2 33265 4 33312 6 34743 8 33268 33313 33270 11297
1,75036 37953 33426 33675 33428 35374 6 33947 8 9 33290 33430 9188
1,33400 33401 33316 33385 33317 33386 6 33402 8 33309 33290 33403 14996
1,55039 55040 33283 34572 33285 34573 6 55041 33777 9 33290 33291 9226
0,56666 39698 2 3 4 33438 6 33336 8 33275 33313 11 32310
1,64646 46333 33357 33358 33359 33360 6 33518 8 33431 33290 33430 27289
0,50845 34028 2 33365 4 33966 6 37402 34005 33368 33408 33968 27284
1,67884 40597 33299 33395 33301 33840 6 36281 8 33431 33290 33905 22955
0,66195 56259 33283 33975 33285 50750 6 66196 8 33326 38290 33291 4068
0,37213 35506 2 3 4 33307 6 33336 8 33275 33313 11 8665
0,44492 33663 2 33265 4 33307 6 33280 8 33268 33455 33270 24807
1,57717 44584 33299 33395 33301 37490 6 57718 8 33326 33290 33430 23089
0,67684 46254 33339 33895 33341 33598 6 67685 33344 33326 33346 33430 12962
1,56650 48296 33283 33284 33285 36490 6 33518 8 33289 33290 33430 19553
1,48350 36287 2 3 4 33568 6 48351 8 33431 33296 33678 4356
1,76642 39587 2 33730 4 33731 6 33947 8 9 33290 33430 21240
0,51768 35506 2 33265 4 33307 6 33280 8 33268 33313 33270 7581
1,67389 46333 33357 33358 33359 33360 6 33518 8 9 33290 33430 27287
0,53958 46254 33339 33895 33341 33598 6 53959 33344 33326 33346 33430 7010
0,70344 34479 33316 34024 33317 34480 6 33947 8 9 33290 33430 9018
0,40033 40034 33299 33300 33301 33302 6 40035 8 33289 33290 34851 29185
0,44196 41439 33339 34566 33341 35926 6 33947 8 9 33290 33430 33191
0,50749 48541 33283 33975 33285 50750 6 50751 8 9 38290 33291 12249
1,55571 36690 2 34181 4 34182 6 33518 8 9 33290 33430 17948
0,59943 43308 33521 34861 33523 34862 6 59944 8 33289 33290 33526 26937
1,52099 34729 2 3 4 33279 6 33336 8 33275 33455 11 9753
1,76807 46254 33339 33895 33341 33598 6 44431 33344 33326 33346 33430 31619
1,76642 39587 2 33730 4 33731 6 33947 8 9 33290 33430 20839
1,57065 40608 33283 34432 33285 49581 6 33622 8 9 33290 33604 12775
1,70580 47841 33283 33265 33285 34662 6 33708 8 33268 33290 33270 27280
0,55119 33899 2 3 4 33438 6 33336 8 33275 33313 11 26674
0,67486 37731 33416 33689 33418 33615 6 37732 8 33268 33617 33270 27889
0,58918 38507 33339 35272 33341 38508 6 33947 8 9 33290 33430 25838
0,72177 35126 2 33265 4 33266 6 33559 8 33268 33269 33270 33122
1,75036 37953 33426 33675 33428 35374 6 33947 8 9 33290 33430 9343
0,61493 48620 2 33265 4 33312 6 35596 8 33268 33313 33270 6506
1,71279 33353 2 33265 4 33266 6 33609 8 33268 33269 33270 11292
1,57065 40608 33283 34432 33285 49581 6 33622 8 9 33290 33604 12746
0,70959 43899 33339 35272 33341 38508 6 33947 8 9 33290 33430 25327
1,54355 39488 33299 33601 33301 33602 6 33947 8 9 33290 33430 10556
0,36501 36502 33283 35543 33285 36015 6 33947 8 9 33290 33430 9459
1,49101 49102 33299 33601 33301 34793 6 49103 8 9 33290 33423 13316
0,74559 39212 33339 34566 33341 36667 6 33947 8 9 33290 33430 7104
1,77920 35506 2 3 4 33307 6 33336 8 33275 33313 11 11285
0,47522 33981 2 33265 4 33273 6 33280 8 33268 33296 33270 31457
0,64807 43315 33283 33323 33285 33775 6 64808 8 33431 33290 33291 6792
1,51965 33842 33283 33323 33285 33775 6 33616 8 33431 33290 33461 29966
0,72142 33950 2 33265 4 33312 6 34743 8 33268 33313 33270 19072
0,51965 33842 33283 33323 33285 33775 6 33616 8 33431 33290 33461 12800
1,72402 69069 33283 35227 33285 35228 6 50710 8 33289 33290 33461 33151
1,36245 36246 33426 33675 33428 35374 6 33947 8 9 33290 33430 9320
0,75547 33575 2 33265 4 33307 6 33280 8 33268 33313 33270 21233
0,57051 34355 2 33365 4 33406 6 34283 8 33368 33408 33370 6739
0,33310 33311 2 3 4 33312 6 7 8 9 33313 11 18898
0,74521 34148 2 3 4 33273 6 33336 8 33275 33276 11 12485
0,49489 35756 2 33365 4 33366 6 39133 8 33289 33369 33370 25553
1,37522 37523 33299 33601 33301 34793 6 33947 8 9 33290 33430 23704
0,50521 34637 2 3 4 33541 6 33336 8 33275 33313 11 10442
1,59699 43899 33339 35272 33341 38508 6 33518 8 33289 33290 33430 29334
1,72607 45886 33416 33689 33418 33690 6 33947 8 9 33290 33430 9343
0,53764 38143 33316 34256 33317 35625 6 53765 8 9 33388 33430 12921
0,66387 35196 2 3 4 33438 6 36400 8 33289 33269 33403 28628
1,51147 43899 33339 35272 33341 38508 6 51148 8 9 33290 35134 29334
1,76669 36690 2 34181 4 34182 6 76670 8 33431 33290 33430 10592
1,48688 40217 33316 34024 33317 34025 6 33947 8 9 33290 33430 8820
1,34700 34701 33426 33427 33428 33429 6 33947 8 9 33290 33430 32057
1,34270 34271 33283 33885 33285 33350 6 34272 8 9 33290 33461 25096
0,59669 36695 33299 33790 33301 36696 6 36199 8 33289 33290 33430 7555
1,63116 63117 33299 33866 33301 33866 6 33947 8 9 33290 33430 25333
0,57768 33950 2 33265 4 33312 6 37173 8 33268 33313 33270 15065
0,73808 35635 33299 33866 33301 33866 6 33947 8 9 33290 33430 17349
0,74129 33913 2 3 4 33541 6 33336 8 33275 33276 11 29553
1,75421 36283 33426 33675 33428 35398 6 33947 8 9 33290 33430 9320
1,44056 44057 2 33730 4 33902 6 36877 8 33431 33904 33430 27731
1,77879 53079 33283 34572 33285 34573 6 55041 8 9 33290 33291 26836
1,75374 66181 33299 33601 33301 34793 6 33947 8 9 33290 33430 9324
0,36916 33950 2 3 4 33312 6 7 8 9 33313 11 5404
0,63308 39291 33426 33427 33428 33999 6 45634 8 33431 33290 33604 27286
1,58268 42753 2 3 4 33438 6 36028 8 33289 33455 36029 5794
0,70393 34020 2 33265 4 33266 6 34021 8 33268 33269 33270 32230
1,69068 69069 33283 35227 33285 35228 6 50710 8 33289 33290 35276 7489
0,42271 33543 33521 33544 33523 33545 6 36300 8 33268 33290 33270 3287
0,60236 48740 2 33265 4 33438 6 33333 8 33268 33313 33270 5196
1,62274 36572 2 3 4 33312 6 62275 8 33326 33313 11 11299
0,74559 39212 33339 34566 33341 36667 6 33947 8 9 33290 33430 17962
0,34136 34137 33299 33395 33301 34138 6 33691 8 33289 33290 33430 11933
0,42305 34196 2 33265 4 33279 6 33280 8 33268 33296 33270 4862
1,68750 66181 33299 33601 33301 34793 6 33947 8 9 33290 33430 13420
1,75374 66181 33299 33601 33301 34793 6 33947 8 9 33290 33430 13423
1,76321 37666 33299 33395 33301 37667 6 76322 8 33268 33290 33270 29027
1,66388 37738 33316 34024 33317 34025 6 33947 8 9 33290 33430 11886
0,44482 35158 33521 33265 33523 35159 6 33397 8 33268 33290 33270 20757
0,55930 35952 33283 34490 33285 34491 6 55931 8 33270 34493 33587 20759
1,34270 34271 33283 33885 33285 33350 6 34272 8 9 33290 33461 29997
0,43433 37248 2 33265 4 33366 6 33270 8 33268 34210 33270 29103
1,63116 63117 33299 33866 33301 33866 6 33947 8 9 33290 33430 10412
0,33635 33636 2 3 4 33273 6 33489 8 33275 33296 11 15474
1,74639 35599 33283 34432 33285 35600 6 33947 37706 9 33290 33430 12365
1,36873 36670 33426 33675 33428 35398 6 33947 8 9 33290 33430 23935
1,51851 33401 33316 33385 33317 33386 6 38320 8 33289 33290 33657 15971
0,47812 34298 2 33265 4 33279 6 33280 8 33268 33313 33270 12728
0,36992 36993 33521 36087 33523 36088 6 35895 8 33431 33290 33526 13428
0,69154 39698 2 3 4 33438 6 33336 8 33275 33313 11 11385
1,61527 38505 2 33730 4 33731 6 33947 8 9 33290 33430 21450
0,40304 35919 2 33365 4 35920 6 33947 8 9 33290 33430 9453
0,66528 35506 2 3 4 33307 6 33308 8 33309 33313 11 28211
1,69189 37666 33299 33395 33301 37667 6 46748 8 33289 33290 33657 24331
0,73688 33950 2 33265 4 33312 6 35596 8 33268 33313 33270 19878
0,75421 36283 33426 33675 33428 35398 6 33947 8 9 33290 33430 23333
0,76510 40684 33299 34471 33301 34752 6 33947 8 9 33290 33430 21478
0,42862 39101 2 33265 4 33467 6 39102 8 33268 33313 33270 26937
0,58745 38848 33316 34024 33317 37199 6 33947 8 9 33290 33430 23047
1,75036 37953 33426 33675 33428 35374 6 33947 8 9 33290 33430 7112
0,47727 33543 33521 33544 33523 33545 6 36300 8 33268 33290 33270 22308
1,46244 46245 33299 33866 33301 33866 6 33947 8 9 33290 33430 23877
1,62728 37786 2 3 4 33279 6 33336 8 33275 33313 11 7914
1,64473 36384 2 33730 4 34200 6 64474 8 33431 33455 33657 19872
0,44682 33899 2 3 4 33438 6 33336 8 33275 33313 11 28568
0,46371 35196 2 33265 4 33266 6 33494 8 33268 33269 33270 8170
1,37213 35506 2 3 4 33307 6 33336 8 33275 33313 11 11285
0,60096 50844 33416 33476 33418 36487 6 33518 8 33289 33290 33430 14996
1,54352 37581 33283 36494 33285 34662 6 54353 8 33431 33290 33461 27284
1,62078 62079 33521 34861 33523 34862 6 62080 8 9 33290 33526 22955
1,74500 36453 2 34181 4 34182 6 33947 8 9 33290 33430 28747
0,68364 35158 33521 33265 33523 35159 6 34711 8 33268 33290 33270 20115
1,64667 34271 33283 33885 33285 47909 6 64668 34383 33431 33290 34780 7190
1,73848 33600 33299 33601 33301 33602 6 33947 8 9 33290 33430 23671
0,52610 33950 2 33265 4 33312 6 39153 8 33268 33313 33270 25407
1,69854 35748 33426 35335 33428 35454 6 33947 8 9 33290 33430 22709
1,76321 37666 33299 33395 33301 37667 6 76322 8 33268 33290 33270 28978
0,47559 33950 2 33265 4 33312 6 47560 8 33268 33313 33270 22959
0,45585 42411 33416 34542 33418 42412 6 45586 33421 33431 33422 34545 8206
0,36121 34079 33521 33544 33523 33545 6 36122 8 33268 33290 33270 14592
0,55474 35506 2 33265 4 33307 6 33280 8 33268 33313 33270 10538
0,54633 46254 33339 33895 33341 33598 6 33622 33344 33431 33346 33604 29796
0,44403 36402 2 3 4 39297 6 44404 8 33309 33313 11 30339
0,75310 45239 2 3 4 33438 6 75311 8 33289 33269 33628 22909
0,77750 34174 2 3 4 33279 6 33336 8 33275 33296 11 19872
0,66813 33801 2 3 4 33307 6 33336 8 33275 33269 11 13534
1,75421 36283 33426 33675 33428 35398 6 33947 8 9 33290 33430 8474
1,34270 34271 33283 33885 33285 33350 6 34272 8 9 33290 33461 10315
0,51881 35506 2 3 4 33307 6 33336 8 33275 33313 11 4875
1,75036 37953 33426 33675 33428 35374 6 33947 8 9 33290 33430 23785
0,70344 34479 33316 34024 33317 34480 6 33947 8 9 33290 33430 12024
1,70455 56860 33283 33447 33285 37709 6 70456 8 9 33290 33905 9698
0,65935 35158 33521 33265 33523 35159 6 65936 8 33268 33290 33270 30998
0,49155 36287 2 3 4 33453 6 48351 8 33431 33455 33678 25018
1,44914 44915 2 33265 4 33312 6 34743 8 33268 33313 33270 9725
0,65935 35158 33521 33265 33523 35159 6 65936 8 33268 33290 33270 20000
1,57899 34225 33316 33265 33317 33318 6 34226 8 33268 33320 33270 13757
1,55432 36287 2 3 4 34917 6 55433 8 33431 33296 33678 20615
0,45150 36023 2 33265 4 33312 6 37173 8 33268 33313 33270 16297
0,48419 36690 2 34181 4 34182 6 33518 8 33289 33904 33430 15730
1,55119 33899 2 3 4 33438 6 33336 8 33275 33313 11 11271
1,45893 38923 33416 33529 33418 33573 6 33947 8 9 33290 33430 2591
0,44682 33899 2 3 4 33438 6 33336 8 33275 33313 11 27243
0,52417 42753 2 3 4 33438 6 33442 8 33309 33455 11 32954
1,51791 34366 33316 33265 33317 33318 6 33708 8 33268 33320 33270 14807
1,53529 44688 33426 35335 33428 35454 6 33947 8 9 33290 33430 22661
1,64646 46333 33357 33358 33359 33360 6 33518 8 33431 33290 33430 27287
1,73320 46254 33339 33895 33341 33598 6 33478 33344 9 33346 33430 31632
1,40216 40217 33316 34024 33317 34025 6 33947 8 9 33290 33430 12139
0,68485 36897 2 33265 4 33553 6 68486 8 33268 33296 33270 7676
0,67731 46567 2 3 4 33453 6 37837 8 33431 33455 11 10485
1,41845 33488 2 3 4 33438 6 33489 8 33275 33313 11 7731
0,39066 38655 2 33265 4 33273 6 33280 8 33268 10 33270 15803
0,72946 33899 2 3 4 33438 6 33336 8 33275 33313 11 23973
1,55225 35062 33299 33790 33301 34102 6 33947 8 9 33290 33430 7069
0,37769 35352 2 33265 4 33307 6 33280 8 33268 10 33270 33126
1,59104 59105 2 33730 4 33731 6 33947 8 9 33290 33430 9320
0,77319 45288 33316 34256 33317 50461 6 33616 8 33431 33388 33461 32805
0,48840 34502 2 33265 4 33279 6 33280 8 33268 33296 33270 32728
1,71841 62722 33283 34432 33285 34465 6 33947 8 9 33290 33430 24423
1,35747 35748 33426 35335 33428 35454 6 33518 8 9 33290 33430 22671
0,46538 34447 2 3 4 33273 6 33336 8 33275 33269 11 12453
1,71443 35506 2 3 4 33307 6 33336 8 33275 33313 11 9731
1,40216 40217 33316 34024 33317 34025 6 33947 8 9 33290 33430 9452
1,38115 36888 33299 33395 33301 33840 6 33947 8 9 33290 33430 22956
0,64807 43315 33283 33323 33285 33775 6 64808 8 33431 33290 33291 8745
0,74625 37695 2 33365 4 36903 6 43588 8 33309 33408 33370 17068
0,45196 34369 2 3 4 33307 6 45197 8 33309 33269 11 18151
1,74559 39212 33339 34566 33341 36667 6 33947 8 9 33290 33430 24102
0,76391 34248 2 33265 4 33307 6 33280 8 33268 33269 33270 31887
0,70189 45661 33299 33601 33301 34793 6 33947 8 9 33290 33430 31122
0,42810 36677 33521 33544 33523 33545 6 34627 8 33268 33290 33270 26903
1,61527 38505 2 33730 4 33731 6 33947 8 9 33290 33430 21435
1,61527 38505 2 33730 4 33731 6 33947 8 9 33290 33430 21495
1,36286 36287 2 3 4 33467 6 36288 8 33431 33313 33678 20614
0,43835 43836 33357 33458 33359 33517 6 33691 8 33289 33290 33430 25867
0,53722 35506 2 3 4 33307 6 33336 8 33275 33313 11 23380
1,76321 37666 33299 33395 33301 37667 6 76322 8 33268 33290 33270 2298
0,42271 33543 33521 33544 33523 33545 6 36300 8 33268 33290 33270 30597
1,54460 45661 33299 33601 33301 34793 6 33947 8 9 33290 33430 23762
1,39796 36287 2 3 4 35285 6 39797 8 33431 33313 33678 22982
1,48688 40217 33316 34024 33317 34025 6 33947 8 9 33290 33430 11986
0,47314 35663 2 3 4 33438 6 33336 8 33275 33313 11 9698
0,73585 38704 2 33265 4 39436 6 37971 8 33268 33313 33270 33128
0,35538 35539 33416 33417 33418 35540 6 33420 8 33431 33422 33423 25196
0,34530 34531 33283 33666 33285 33667 6 34532 8 33431 33290 33461 25593
1,76321 37666 33299 33395 33301 37667 6 76322 8 33268 33290 33270 29001
1,47840 47841 33283 36494 33285 34662 6 36495 8 33289 33290 33291 27283
