decision,access_string
1,75100 74444 33283 33284 33285 33536 6 75101 33538 33431 33290 34780 9674
0,44188 33926 33426 33927 33428 36556 6 36557 8 33289 33844 33930 6012
1,58435 43078 33416 33529 33418 35112 6 58436 8 33431 33617 33618 3024
0,55517 55518 2 34012 4 33568 6 36431 8 9 33313 33526 17531
0,53528 42060 33283 33284 33285 36490 6 33691 8 33289 33290 33430 20545
1,63638 44584 33299 33395 33301 37490 6 63639 8 33326 33290 33430 23089
0,43574 33850 2 3 4 33279 6 33336 8 33275 33296 11 6879
0,38099 36392 33416 33689 33418 33828 6 38100 33421 33431 33422 33430 10236
1,59182 49633 33283 33284 33285 33286 6 36495 33288 33289 33290 33291 8311
1,55517 55518 2 34012 4 33568 6 36431 8 9 33313 33526 4356
1,66393 50456 33316 33385 33317 33318 6 66394 8 33431 33320 33657 14891
0,56650 48296 33283 33284 33285 36490 6 33518 8 33289 33290 33430 31002
1,52228 37666 33299 33395 33301 37667 6 46748 8 33289 33290 33657 28964
1,67914 37683 33283 33284 33285 33286 6 35274 33288 9 33290 35276 3033
1,77986 77987 33283 33284 33285 33536 6 77988 33538 33289 33290 33291 25144
0,44879 35821 33283 33284 33285 35822 6 44880 8 33431 33422 34569 11500
0,47031 47032 33283 33975 33285 34171 6 47033 8 33431 33976 33461 6376
1,41251 41252 33283 33284 33285 33536 6 34445 33538 33289 33290 33291 32932
1,56016 35748 33426 35335 33428 35454 6 33518 8 9 33290 33430 22701
0,52009 34276 2 3 4 33307 6 33336 8 33275 33296 11 14876
0,62227 36105 33316 34256 33317 35491 6 42891 8 9 33388 33968 32285
0,33940 33493 2 33265 4 33266 6 33494 8 33268 33269 33270 6014
0,60146 44164 33283 34490 33285 34491 6 60147 8 33270 34493 33587 27079
0,64428 36392 33416 33689 33418 33828 6 36393 33421 9 33422 33430 10944
1,69801 35593 2 3 4 33438 6 35594 8 33275 33276 11 19689
1,33534 33535 33283 33284 33285 33536 6 33537 33538 9 33290 33291 12663
1,37348 37349 2 33365 4 33366 6 37350 8 33309 33408 33370 29174
1,50517 48566 33339 33895 33341 48567 6 48568 33344 33289 33346 33430 31642
1,62586 38342 2 33768 4 33769 6 62587 8 33326 33290 33347 23412
0,38134 38135 33283 33666 33285 38136 6 38137 33751 9 38138 33430 29135
1,48511 37417 33283 33284 33285 35822 6 48512 8 33345 33422 33430 19227
1,53667 52295 33416 33689 33418 33828 6 53668 8 9 33422 33430 10513
0,43600 34119 2 3 4 33273 6 35060 8 33275 33276 11 28964
0,61965 36489 33283 33284 33285 36490 6 33518 8 33289 33290 33430 13146
0,36391 36392 33416 33689 33418 33828 6 36393 33421 9 33422 33430 26801
0,44008 44009 33283 33284 33285 35822 6 33518 8 33289 33422 33430 4359
0,50501 43284 2 3 4 35285 6 7 8 9 33313 11 5115
1,48690 44392 33283 33284 33285 33536 6 48691 33538 33431 33290 35276 32943
1,55740 44235 33283 33284 33285 33286 6 55741 33288 33431 33290 33291 8618
0,55740 44235 33283 33284 33285 33286 6 55741 33288 33431 33290 33291 27598
0,54043 42553 33416 33689 33418 33828 6 40667 8 33431 33422 34569 26770
1,36659 36660 33283 33284 33285 36661 6 33616 36662 9 33290 33461 8308
1,49814 41880 2 3 4 33438 6 49815 8 33368 33296 33712 9752
1,46014 37666 33299 33395 33301 37667 6 46015 8 33289 33290 33657 28915
0,51385 33463 2 3 4 33438 6 34246 8 33289 33313 33403 7805
0,40050 36105 33316 34256 33317 35491 6 36106 8 9 33388 33968 23929
1,41976 37666 33299 33395 33301 37667 6 35375 8 33289 33290 33450 29174
1,46235 44392 33283 33284 33285 33536 6 46236 33538 33431 33290 33461 7792
1,60144 44588 33521 35659 33523 35159 6 60145 8 33326 33290 33526 3159
1,70514 41181 33299 33300 33301 33302 6 70515 8 33431 33290 34851 28651
1,75727 36580 2 33730 4 33902 6 75728 8 33431 33904 33430 25466
0,59841 36559 33283 33284 33285 36490 6 40887 8 9 33290 33347 4964
0,42875 33680 33521 33544 33523 33545 6 34141 8 33268 33290 33270 29517
0,44188 33926 33426 33927 33428 36556 6 36557 8 33289 33844 33930 12256
0,63630 42880 33416 35962 33418 35963 6 63631 8 33345 33290 33461 12647
0,65227 47581 33283 33284 33285 35822 6 49389 8 9 33422 33430 30483
1,52223 47741 33316 34024 33317 34480 6 52224 8 33326 33290 33430 12260
1,46014 37666 33299 33395 33301 37667 6 46015 8 33289 33290 33657 28648
0,75222 35808 2 33265 4 33438 6 33280 8 33268 33296 33270 3806
1,63634 37748 33283 35227 33285 35228 6 54002 8 33431 33290 34539 9956
1,48511 37417 33283 33284 33285 35822 6 48512 8 33345 33422 33430 8596
1,35118 35119 2 33730 4 34200 6 35120 8 9 33313 33657 19689
0,77851 33463 2 3 4 33438 6 33464 8 33309 33313 33403 24977
1,66393 50456 33316 33385 33317 33318 6 66394 8 33431 33320 33657 14989
0,55580 34798 33299 34471 33301 34752 6 36199 8 33289 33290 33430 14836
0,75641 61899 33416 33689 33418 33828 6 75642 8 9 33422 33430 27125
1,67185 39320 33283 33284 33285 35822 6 33518 8 9 33422 33430 19145
1,62547 38417 33283 33284 33285 33286 6 62548 33288 33289 33290 33291 3610
0,58550 33463 2 3 4 35285 6 33672 8 9 33313 33403 18018
0,55343 35169 2 33265 4 33453 6 36932 8 33268 33455 33270 23139
1,69388 36475 33283 33284 33285 35822 6 33518 8 9 33422 33430 19128
0,56014 34294 2 3 4 33279 6 33336 8 33275 33313 11 32348
0,59669 36695 33299 33790 33301 36696 6 36199 8 33289 33290 33430 4092
0,57261 52295 33416 33689 33418 33828 6 34568 8 9 33422 34569 32164
1,59229 37110 33283 34432 33285 38378 6 36249 8 33431 33290 33430 29538
0,77251 40984 33416 33476 33418 34134 6 34568 8 33431 33290 34569 33262
0,50846 38342 33347 35017 33502 35018 6 50847 8 33431 33290 33347 5994
1,46014 37666 33299 33395 33301 37667 6 46015 8 33289 33290 33657 29170
1,67527 42110 33426 35335 33428 35497 6 50330 8 33275 33296 11 33075
1,66393 50456 33316 33385 33317 33318 6 66394 8 33431 33320 33657 14865
1,54741 54742 33283 33284 33285 36661 6 54743 36662 33289 33290 33930 8893
0,63632 40527 2 33265 4 33273 6 33280 8 33268 33296 33270 8927
1,75959 34667 2 33365 4 33366 6 34668 8 33309 33408 33370 19517
1,50254 50255 33283 33447 33285 40901 6 50256 8 9 33290 33423 8311
1,58786 38342 33347 35017 33502 35018 6 58787 8 33431 33290 33604 3284
0,41879 41880 2 3 4 33438 6 41881 8 33368 33296 33712 16437
1,65552 40095 33283 33284 33285 48317 6 44279 34912 33289 34913 33930 19196
0,50846 38342 33347 35017 33502 35018 6 50847 8 33431 33290 33347 8794
1,61513 37248 33416 34207 33418 33366 6 39637 8 33289 34210 33370 5595
1,53283 36996 33426 33927 33428 36805 6 53284 8 33345 33290 33930 2303
1,67607 34766 2 3 4 33438 6 34246 8 33289 33276 33403 20081
1,37351 37352 2 3 4 33438 6 34390 8 33309 33313 11 20220
1,69966 36252 33283 33284 33285 35822 6 33518 8 9 33422 33430 19148
0,51385 33463 2 3 4 33438 6 34246 8 33289 33313 33403 18379
0,59387 52849 33316 33385 33317 36239 6 59388 8 33431 33290 33362 13808
0,66745 59172 2 3 4 33294 6 33944 8 9 33296 11 18235
0,76271 42553 33416 33689 33418 33828 6 34568 8 9 33422 34569 26428
0,72723 46390 33416 33689 33418 33828 6 72724 8 33326 33422 33430 19151
0,73693 33581 2 33265 4 33279 6 33280 8 33268 33313 33270 5925
1,51091 38342 33347 35017 33502 35018 6 51092 8 33431 33290 33347 23325
1,69133 69134 33416 33689 33418 33690 6 69135 8 33289 33290 33450 18951
1,75693 37695 2 33365 4 36903 6 43588 8 33309 33408 33370 8057
1,65041 33535 33283 33284 33285 33536 6 36521 33538 33289 33290 33291 25140
1,57261 52295 33416 33689 33418 33828 6 34568 8 9 33422 34569 10521
1,47003 40385 33283 33284 33285 36490 6 33478 8 9 33290 33430 19550
0,64748 33463 2 3 4 33438 6 37188 8 33289 33313 33403 25131
1,55007 37473 33426 35335 33428 35454 6 44503 8 33326 33290 33430 22556
1,74283 35821 33283 33284 33285 35822 6 41299 8 33326 33422 33430 19152
0,48394 36168 33416 33265 33418 33828 6 40395 8 33268 33422 33270 30282
1,58786 38342 33347 35017 33502 35018 6 58787 8 33431 33290 33604 19583
0,69517 34428 2 33365 4 33406 6 33407 8 33368 33369 33370 30241
0,53423 41894 33299 33395 33301 37490 6 36199 8 33289 33290 33430 27995
0,49516 49517 33283 33975 33285 38398 6 49518 8 33431 33976 33423 7539
0,46231 33807 2 33265 4 33307 6 33280 8 33268 33455 33270 15059
0,54176 47741 33316 34024 33317 34480 6 46502 54177 33326 33290 33430 9877
1,41471 38417 33283 33284 33285 33286 6 41472 33288 33431 33290 33291 6718
0,52545 40832 33283 33447 33285 40901 6 33518 8 9 33290 33430 13373
1,54198 42464 33416 33689 33418 33828 6 49389 8 33431 33422 33430 7360
0,43192 43193 33357 33458 33359 33517 6 36199 8 33289 33290 33430 28142
0,65490 33640 2 33265 4 33273 6 33280 8 33268 33313 33270 21538
0,33692 33693 2 3 4 33438 6 33694 8 33309 33313 11 8765
0,65521 34502 2 3 4 33307 6 33336 8 33275 33296 11 2799
0,59171 59172 2 3 4 33294 6 33944 8 9 33296 11 13632
0,65690 48312 33416 33689 33418 33828 6 35402 8 33431 33422 33430 2433
0,41977 40362 33416 33689 33418 33828 6 33518 8 33431 33422 33430 11370
0,52277 35679 33283 33284 33285 39060 6 33518 36662 9 33290 33430 31158
0,44550 44551 33283 33284 33285 44552 6 33478 33538 33431 33290 33430 5422
1,52547 44392 33283 33284 33285 48317 6 52548 34912 33431 34913 11 19187
1,52353 36222 33283 33284 33285 33536 6 52354 8 33289 33290 34780 30509
0,40899 40900 33283 33447 33285 40901 6 40902 8 33431 33290 33423 26064
